,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,SDA,e->d,electronics,dvd,15.7628940724,29.0957273932,13.3328333208
1,SDA,e->k,electronics,kitchen,8.58771469287,11.9252981325,3.33758343959
2,SDA,e->b,electronics,books,15.157878947,29.9832495812,14.8253706343
3,SDA,d->e,dvd,electronics,11.1277781945,26.3181579539,15.1903797595
4,SDA,d->k,dvd,kitchen,8.58771469287,21.9855496387,13.3978349459
5,SDA,d->b,dvd,books,15.157878947,24.2831070777,9.1252281307
6,SDA,k->e,kitchen,electronics,11.1277781945,16.5729143229,5.4451361284
7,SDA,k->d,kitchen,dvd,15.7628940724,30.7382684567,14.9753743844
8,SDA,k->b,kitchen,books,15.157878947,28.5982149554,13.4403360084
9,SDA,b->e,books,electronics,11.1277781945,24.9706242656,13.8428460712
10,SDA,b->d,books,dvd,15.7628940724,20.9530238256,5.19012975324
11,SDA,b->k,books,kitchen,8.58771469287,22.2630565764,13.6753418835
