,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,SDA,e->d,electronics,dvd,15.7628940724,33.6733418335,17.9104477612
2,SDA,e->k,electronics,kitchen,8.58771469287,13.0528263207,4.46511162779
3,SDA,e->b,electronics,books,15.157878947,31.3882847071,16.2304057601
4,SDA,d->e,dvd,electronics,11.1277781945,27.6656916423,16.5379134478
5,SDA,d->k,dvd,kitchen,8.58771469287,19.2379809495,10.6502662567
6,SDA,d->b,dvd,books,15.157878947,25.6281407035,10.4702617565
7,SDA,k->e,kitchen,electronics,11.1277781945,13.7903447586,2.66256656416
8,SDA,k->d,kitchen,dvd,15.7628940724,29.0707267682,13.3078326958
9,SDA,k->b,kitchen,books,15.157878947,28.048201205,12.8903222581
10,SDA,b->e,books,electronics,11.1277781945,26.3106577664,15.182879572
11,SDA,b->d,books,dvd,15.7628940724,18.9529738243,3.19007975199
12,SDA,b->k,books,kitchen,8.58771469287,20.5155128878,11.927798195
