,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,SDA,e->d,electronics,dvd,16.9004225106,31.6207905198,14.7203680092
1,SDA,e->k,electronics,kitchen,16.2154053851,17.8229455736,1.6075401885
2,SDA,e->b,electronics,books,23.7105927648,34.1983549589,10.4877621941
3,SDA,d->e,dvd,electronics,16.3979099477,29.633240831,13.2353308833
4,SDA,d->k,dvd,kitchen,16.2154053851,26.1306532663,9.9152478812
5,SDA,d->b,dvd,books,23.7105927648,26.1381534538,2.42756068902
6,SDA,k->e,kitchen,electronics,16.3979099477,16.3754093852,-0.0225005625141
7,SDA,k->d,kitchen,dvd,16.9004225106,28.6357158929,11.7352933823
8,SDA,k->b,kitchen,books,23.7105927648,30.2457561439,6.53516337908
9,SDA,b->e,books,electronics,16.3979099477,29.2182304558,12.820320508
10,SDA,b->d,books,dvd,16.9004225106,23.4655866397,6.5651641291
11,SDA,b->k,books,kitchen,16.2154053851,25.3181329533,9.10272756819
