,Dominio 1,Dominio 2,PAD
0,general,thevoice,1.60388480445
1,general,rio2016,1.71254286839
2,general,"('rio2016', 'thevoice')",1.74924276688
3,rio2016,general,1.71254286839
4,rio2016,thevoice,1.71820541342
5,rio2016,"('thevoice', 'general')",1.72589763178
6,thevoice,general,1.60388480445
7,thevoice,"('rio2016', 'general')",1.69884060703
8,thevoice,rio2016,1.71820541342
