,Dominio 1,Dominio 2,PAD
0,general,thevoice,1.37758298169
1,general,rio2016,1.56389497948
2,general,"('rio2016', 'thevoice')",1.58536518509
3,rio2016,general,1.56389497948
4,rio2016,thevoice,1.67692497837
5,rio2016,"('thevoice', 'general')",1.74854087089
6,thevoice,general,1.37758298169
7,thevoice,"('rio2016', 'general')",1.46757470073
8,thevoice,rio2016,1.67692497837
