,Adaptacion,Tiempo
0,"SDA (l=1, epochs=25)",7.07674165964
1,"SDA (l=1, epochs=50)",13.9162456568
2,"SDA (l=3, epochs=25)",12.7157254966
3,"SDA (l=3, epochs=50)",25.3109551692
4,"SDA (l=5, epochs=25)",18.4255578065
5,"SDA (l=5, epochs=50)",36.7201424233
