,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,mSDA,e->d,electronics,dvd,15.7628940724,26.7781694542,11.0152753819
1,mSDA,e->k,electronics,kitchen,8.58771469287,11.7427935698,3.15507887697
2,mSDA,e->b,electronics,books,15.157878947,28.720718018,13.562839071
3,mSDA,d->e,dvd,electronics,11.1277781945,28.7382184555,17.610440261
4,mSDA,d->k,dvd,kitchen,8.58771469287,25.2481312033,16.6604165104
5,mSDA,d->b,dvd,books,15.157878947,20.5130128253,5.35513387835
6,mSDA,k->e,kitchen,electronics,11.1277781945,12.7928198205,1.66504162604
7,mSDA,k->d,kitchen,dvd,15.7628940724,28.9757243931,13.2128303208
8,mSDA,k->b,kitchen,books,15.157878947,29.4432360809,14.2853571339
9,mSDA,b->e,books,electronics,11.1277781945,21.523038076,10.3952598815
10,mSDA,b->d,books,dvd,15.7628940724,19.7954948874,4.03260081502
11,mSDA,b->k,books,kitchen,8.58771469287,22.1655541389,13.577839446
