,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,mSDA,e->d,electronics,dvd,15.7628940724,25.670641766,9.90774769369
1,mSDA,e->k,electronics,kitchen,8.58771469287,9.61024025601,1.02252556314
2,mSDA,e->b,electronics,books,15.157878947,25.9206480162,10.7627690692
3,mSDA,d->e,dvd,electronics,11.1277781945,24.3481087027,13.2203305083
4,mSDA,d->k,dvd,kitchen,8.58771469287,18.1429535738,9.55523888097
5,mSDA,d->b,dvd,books,15.157878947,21.9005475137,6.74266856671
6,mSDA,k->e,kitchen,electronics,11.1277781945,12.2003050076,1.07252681317
7,mSDA,k->d,kitchen,dvd,15.7628940724,25.3781344534,9.61524038101
8,mSDA,k->b,kitchen,books,15.157878947,29.0007250181,13.8428460712
9,mSDA,b->e,books,electronics,11.1277781945,23.143078577,12.0153003825
10,mSDA,b->d,books,dvd,15.7628940724,20.3430085752,4.58011450286
11,mSDA,b->k,books,kitchen,8.58771469287,20.2480062002,11.6602915073
