,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,GFK,e->d,electronics,dvd,15.7628940724,24.3781094527,8.61521538038
2,GFK,e->k,electronics,kitchen,8.58771469287,10.7927698192,2.20505512638
3,GFK,e->b,electronics,books,15.157878947,28.4632115803,13.3053326333
4,GFK,d->e,dvd,electronics,11.1277781945,22.4680617015,11.3402835071
5,GFK,d->k,dvd,kitchen,8.58771469287,13.3403335083,4.75261881547
6,GFK,d->b,dvd,books,15.157878947,23.8580964524,8.70021750544
7,GFK,k->e,kitchen,electronics,11.1277781945,15.0703767594,3.94259856496
8,GFK,k->d,kitchen,dvd,15.7628940724,26.2631565789,10.5002625066
9,GFK,k->b,kitchen,books,15.157878947,31.8057951449,16.6479161979
10,GFK,b->e,books,electronics,11.1277781945,22.5005625141,11.3727843196
11,GFK,b->d,books,dvd,15.7628940724,17.6029400735,1.84004600115
12,GFK,b->k,books,kitchen,8.58771469287,16.0829020726,7.49518737968
