,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,mSDA,r->t,rio2016,thevoice,19.0459280303,21.6145833333,2.56865530303
1,mSDA,r->g,rio2016,general,30.4079796561,44.2860815041,13.878101848
2,mSDA,t->r,thevoice,rio2016,7.37295825771,12.2731397459,4.9001814882
3,mSDA,t->g,thevoice,general,30.4079796561,41.8229640034,11.4149843473
4,mSDA,g->r,general,rio2016,7.37295825771,13.3166969147,5.94373865699
5,mSDA,g->t,general,thevoice,19.0459280303,23.1770833333,4.13115530303
