,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,mSDA,r->t,rio2016,thevoice,7.36268939394,25.3077651515,17.9450757576
2,mSDA,r->g,rio2016,general,26.9981271861,44.6888742002,17.6907470141
3,mSDA,t->r,thevoice,rio2016,10.2087114338,10.7531760436,0.5444646098
4,mSDA,t->g,thevoice,general,26.9981271861,41.1566920965,14.1585649104
5,mSDA,g->r,general,rio2016,10.2087114338,19.5099818512,9.30127041742
6,mSDA,g->t,general,thevoice,7.36268939394,17.7556818182,10.3929924242
