,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,GFK,r->t,rio2016,thevoice,16.1538461538,27.6923076923,11.5384615385
1,GFK,t->r,thevoice,rio2016,19.7916666667,33.3333333333,13.5416666667
