,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,Baseline,e->d,electronics,dvd,15.7628940724,27.4731868297,11.7102927573
2,Baseline,e->k,electronics,kitchen,8.58771469287,10.322758069,1.73504337608
3,Baseline,e->b,electronics,books,15.157878947,28.4932123303,13.3353333833
4,Baseline,d->e,dvd,electronics,11.1277781945,25.2631315783,14.1353533838
5,Baseline,d->k,dvd,kitchen,8.58771469287,18.0829520738,9.49523738093
6,Baseline,d->b,dvd,books,15.157878947,25.8081452036,10.6502662567
7,Baseline,k->e,kitchen,electronics,11.1277781945,12.6253156329,1.49753743844
8,Baseline,k->d,kitchen,dvd,15.7628940724,26.1131528288,10.3502587565
9,Baseline,k->b,kitchen,books,15.157878947,30.5707642691,15.4128853221
10,Baseline,b->e,books,electronics,11.1277781945,19.0854771369,7.95769894247
11,Baseline,b->d,books,dvd,15.7628940724,18.4704617615,2.70756768919
12,Baseline,b->k,books,kitchen,8.58771469287,19.7004925123,11.1127778194
