,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,PCA,e->d,electronics,dvd,15.7628940724,29.0482262057,13.2853321333
1,PCA,e->k,electronics,kitchen,8.58771469287,10.5952648816,2.00755018875
2,PCA,e->b,electronics,books,15.157878947,30.5907647691,15.4328858221
3,PCA,d->e,dvd,electronics,11.1277781945,26.2506562664,15.122878072
4,PCA,d->k,dvd,kitchen,8.58771469287,18.9379734493,10.3502587565
5,PCA,d->b,dvd,books,15.157878947,27.3256831421,12.1678041951
6,PCA,k->e,kitchen,electronics,11.1277781945,13.7653441336,2.63756593915
7,PCA,k->d,kitchen,dvd,15.7628940724,27.9606990175,12.1978049451
8,PCA,k->b,kitchen,books,15.157878947,31.228280707,16.07040176
9,PCA,b->e,books,electronics,11.1277781945,24.9406235156,13.8128453211
10,PCA,b->d,books,dvd,15.7628940724,22.4480612015,6.68516712918
11,PCA,b->k,books,kitchen,8.58771469287,22.1380534513,13.5503387585
