,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,PCA,e->d,electronics,dvd,15.7628940724,27.3856846421,11.6227905698
1,PCA,e->k,electronics,kitchen,8.58771469287,10.3702592565,1.78254456361
2,PCA,e->b,electronics,books,15.157878947,29.4307357684,14.2728568214
3,PCA,d->e,dvd,electronics,11.1277781945,25.2906322658,14.1628540714
4,PCA,d->k,dvd,kitchen,8.58771469287,20.1755043876,11.5877896947
5,PCA,d->b,dvd,books,15.157878947,26.3756593915,11.2177804445
6,PCA,k->e,kitchen,electronics,11.1277781945,12.9378234456,1.81004525113
7,PCA,k->d,kitchen,dvd,15.7628940724,27.1056776419,11.3427835696
8,PCA,k->b,kitchen,books,15.157878947,30.2082552064,15.0503762594
9,PCA,b->e,books,electronics,11.1277781945,20.2455061377,9.1177279432
10,PCA,b->d,books,dvd,15.7628940724,18.3554588865,2.59256481412
11,PCA,b->k,books,kitchen,8.58771469287,21.7680442011,13.1803295082
