,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,SDA,e->d,electronics,dvd,23.0,36.75,13.75
1,SDA,e->k,electronics,kitchen,17.5,22.25,4.75
2,SDA,e->b,electronics,books,21.25,38.75,17.5
3,SDA,d->e,dvd,electronics,20.0,33.75,13.75
4,SDA,d->k,dvd,kitchen,17.5,28.25,10.75
5,SDA,d->b,dvd,books,21.25,34.75,13.5
6,SDA,k->e,kitchen,electronics,20.0,25.0,5.0
7,SDA,k->d,kitchen,dvd,23.0,37.0,14.0
8,SDA,k->b,kitchen,books,21.25,37.5,16.25
9,SDA,b->e,books,electronics,20.0,33.25,13.25
10,SDA,b->d,books,dvd,23.0,29.25,6.25
11,SDA,b->k,books,kitchen,17.5,33.0,15.5
