,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
0,Baseline,r->t,rio2016,thevoice,19.0459280303,22.2892992424,3.24337121212
1,Baseline,r->g,rio2016,general,30.4079796561,42.9888824626,12.5809028065
2,Baseline,t->r,thevoice,rio2016,7.37295825771,18.5344827586,11.1615245009
3,Baseline,t->g,thevoice,general,30.4079796561,42.4518255345,12.0438458784
4,Baseline,g->r,general,rio2016,7.37295825771,17.0825771325,9.70961887477
5,Baseline,g->t,general,thevoice,19.0459280303,24.0767045455,5.03077651515
