,Adaptacion,Tarea,Fuente,Objetivo,Baseline error,Transfer error,Transfer loss
1,Baseline,r->t,rio2016,thevoice,9.82481060606,23.0705492424,13.2457386364
2,Baseline,r->g,rio2016,general,27.0197012678,44.0540453698,17.034344102
3,Baseline,t->r,thevoice,rio2016,10.3448275862,15.3811252269,5.03629764065
4,Baseline,t->g,thevoice,general,27.0197012678,41.141544337,14.1218430692
5,Baseline,g->r,general,rio2016,10.3448275862,23.8656987296,13.5208711434
6,Baseline,g->t,general,thevoice,9.82481060606,21.7211174242,11.8963068182
